line,arm,step,slice,n_items,k,pass_at_k_,pass_at_k_lo,pass_at_k_hi,best_reward_at_k_,best_reward_at_k_lo,best_reward_at_k_hi
3b,tailrl,200,overall,1581,8,0.38378275451418165,0.36256529293959805,0.40618609923671617,1.8499683681280439,1.8271102983170782,1.8741596457563492
3b,tailrl,200,overall,1581,16,0.42134747201433176,0.4007512972511827,0.44442747012067013,1.8931004419178392,1.8701058627462104,1.9169450369319445
3b,tailrl,200,overall,1581,32,0.45761367571183265,0.4364049873816951,0.4801228934137545,1.9335807446587066,1.9105478439130854,1.9567504278834469
3b,tailrl,200,overall,1581,64,0.4920637991453338,0.46957432618458284,0.5136922457630412,1.9713463964919309,1.9474429562802322,1.9943798357640945
3b,tailrl,200,overall,1581,128,0.5239936419796173,0.5012798083272039,0.5457686991197013,2.005824726055186,1.9815949472951928,2.0282205279110723
3b,tailrl,200,category:CAD,261,1,0.1862577825670498,0.14597701149425288,0.2346930375957854,1.6106528944810623,1.563086513712379,1.6642285273041002
3b,tailrl,200,category:CAD,261,2,0.22551411452827078,0.18096906447170857,0.27734077281371133,1.6788723942362827,1.629440682009351,1.735781041762837
3b,tailrl,200,category:CAD,261,4,0.2650557065835448,0.2200864007406508,0.31921831302578485,1.7324788128235926,1.6831806756971828,1.7896260587550643
3b,tailrl,200,category:CAD,261,8,0.30654366662051663,0.25650504506981625,0.3626182925583046,1.7816336287024264,1.7299069712386075,1.8402363029122935
3b,tailrl,200,category:CAD,261,16,0.3493798969843031,0.29731093389514407,0.4078221912863778,1.8295562244491324,1.7760041402018851,1.8898765503143922
3b,tailrl,200,category:CAD,261,32,0.39257753225735054,0.33893873634677435,0.45288273174797256,1.8764454096010135,1.821237622979579,1.9366300757710975
3b,tailrl,200,category:CAD,261,64,0.43631181781828243,0.38078082432854776,0.4955643163355594,1.9228515974094689,1.8665907276342228,1.9836900494675735
3b,tailrl,200,category:CAD,261,128,0.48034977112301397,0.42414592487985536,0.5392527914407663,1.968679843501911,1.9102882196918924,2.028289335093537
3b,tailrl,200,category:Creative,341,1,0.24524605938416422,0.2029180890304252,0.2856630028867302,1.6790525469804516,1.6308498225429193,1.7257611274026183
3b,tailrl,200,category:Creative,341,2,0.2846488999704449,0.24119836639657016,0.32711692595648656,1.7342986949760455,1.683954576917931,1.782571734616907
3b,tailrl,200,category:Creative,341,4,0.31904890316535683,0.27250665396927054,0.3653894627308721,1.7779938989703372,1.725839803587987,1.8277796312418721
3b,tailrl,200,category:Creative,341,8,0.3503813034147752,0.3017953691103155,0.3982645383671409,1.8152914691770852,1.763500015044389,1.865452043926164
3b,tailrl,200,category:Creative,341,16,0.38071553201613123,0.33147523242515775,0.42864671584884245,1.8496941441570889,1.795491480880656,1.8987231214610159
